"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Angola","AGO","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Albania","ALB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999999686","","","","","99.9999999999683","","","","","100","","","","","100","","","","","100","100","100","100","100","100","99.9999999999642","99.9999999999643","","",
"Andorra","AND","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","99.9842109816904","","","","","99.957431968077","","","","","100","","","","","99.9566358235583","100","99.955997318409","97.6859593235148","16.5989802462163","90.8480627384849","17.4195577199093","17.8244594869492","","",
"Arab World","ARB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"United Arab Emirates","ARE","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6066996888105","","","","","99.5809649285064","","","","","99.5499711446191","","","","","99.4115039164003","","","","","99.4476413232427","99.5304130879093","99.2176885641081","99.0264640003624","98.3140640099954","98.0219286945161","94.1394599235076","93.8528246666324","","",
"Armenia","ARM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"American Samoa","ASM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
